Feature_Combine
CNA_2:148000001-149000000
CNA_21:23000001-24000000
CNA_3:102000001-103000000
CNA_22:45000001-46000000
CNA_22:25000001-26000000
CNA_22:24000001-25000000
CNA_22:23000001-24000000
CNA_21:26000001-27000000
CNA_21:24000001-25000000
CNA_21:22000001-23000000
CNA_15:84000001-85000000
CNA_21:21000001-22000000
CNA_20:42000001-43000000
CNA_20:40000001-41000000
CNA_20:39000001-40000000
CNA_20:3000001-4000000
CNA_20:23000001-24000000
CNA_20:22000001-23000000
CNA_3:107000001-108000000
CNA_3:1-1000000
T_CNA_2:219448479-219448881
CNA_3:131000001-132000000
CNA_3:58000001-59000000
CNA_3:52000001-53000000
T_CNA_19:46493754-46493966
CNA_3:4000001-5000000
CNA_3:38000001-39000000
T_CNA_2:1040869-1040871
CNA_3:31000001-32000000
CNA_3:196000001-197000000
CNA_3:186000001-187000000
CNA_3:183000001-184000000
CNA_3:170000001-171000000
CNA_3:161000001-162000000
CNA_3:159000001-160000000
CNA_3:155000001-156000000
T_CNA_2:176123335-176123515
CNA_2:54000001-55000000
CNA_2:53000001-54000000
T_CNA_4:146638834-146639336
CNA_17:74000001-75000000
CNA_17:66000001-67000000
CNA_17:49000001-50000000
T_CNA_9:19789007-19789198
TMD_213
TMD_271
CNA_17:41000001-42000000
CNA_17:39000001-40000000
CNA_17:33000001-34000000
CNA_17:32000001-33000000
TMD_272
CNA_17:19000001-20000000
CNA_16:52000001-53000000
CNA_16:34000001-35000000
CNA_16:27000001-28000000
TMD_314
T_CNA_8:54470079-54470317
CNA_18:12000001-13000000
CNA_2:48000001-49000000
CNA_18:27000001-28000000
CNA_2:219000001-220000000
T_CNA_5:73298958-73299150
CNA_2:170000001-171000000
T_CNA_6:50850435-50850652
CNA_2:161000001-162000000
T_CNA_7:27243853-27244057
CNA_2:113000001-114000000
CNA_2:108000001-109000000
CNA_19:30000001-31000000
T_CNA_7:97731982-97732134
CNA_19:16000001-17000000
CNA_18:59000001-60000000
CNA_18:51000001-52000000
CNA_18:43000001-44000000
CNA_18:30000001-31000000
CNA_3:59000001-60000000
CNA_3:63000001-64000000
T_CNA_19:1467885-1468077
CNA_8:95000001-96000000
CNA_8:6000001-7000000
CNA_8:51000001-52000000
CNA_8:49000001-50000000
CNA_8:34000001-35000000
CNA_8:134000001-135000000
CNA_8:127000001-128000000
CNA_8:126000001-127000000
CNA_8:120000001-121000000
CNA_8:11000001-12000000
CNA_8:105000001-106000000
CNA_7:80000001-81000000
MOTIF_END_GTTG
MOTIF_END_GTTT
MOTIF_END_TGTA
CNA_7:27000001-28000000
MOTIF_END_GTTC
CNA_9:101000001-102000000
CNA_7:16000001-17000000
MOTIF_END_GTCA
MOTIF_END_GAAA
MOTIF_END_AGTC
MOTIF_END_AGGC
MOTIF_END_GATC
MOTIF_END_AGCT
MOTIF_END_AGCC
MOTIF_END_AGAG
MOTIF_END_GTAA
ME_G10
MOTIF_END_GTAC
CNA_9:98000001-99000000
CNA_9:92000001-93000000
MOTIF_END_GTAT
CNA_9:134000001-135000000
CNA_9:132000001-133000000
MOTIF_END_TTTG
CNA_7:131000001-132000000
CNA_3:74000001-75000000
CNA_5:132000001-133000000
CNA_4:62000001-63000000
CNA_4:59000001-60000000
T_CNA_11:76322032-76322348
CNA_4:5000001-6000000
CNA_4:29000001-30000000
CNA_4:28000001-29000000
CNA_4:24000001-25000000
CNA_4:19000001-20000000
T_CNA_13:50843351-50843551
CNA_4:15000001-16000000
CNA_1:102000001-103000000
CNA_4:131000001-132000000
T_CNA_17:81025756-81025942
CNA_4:12000001-13000000
CNA_4:11000001-12000000
CNA_5:118000001-119000000
CNA_5:153000001-154000000
CNA_7:13000001-14000000
T_CNA_11:62444331-62444643
CNA_7:128000001-129000000
CNA_7:113000001-114000000
CNA_7:105000001-106000000
T_CNA_1:145871997-145872290
CNA_6:90000001-91000000
CNA_6:55000001-56000000
CNA_6:50000001-51000000
CNA_6:42000001-43000000
T_CNA_1:237042230-237042430
CNA_6:126000001-127000000
CNA_5:81000001-82000000
CNA_5:77000001-78000000
CNA_5:53000001-54000000
CNA_5:18000001-19000000
T_CNA_10:91633125-91633224
CNA_15:85000001-86000000
MOTIF_END_GATA
CNA_15:71000001-72000000
CNA_1:52000001-53000000
CNA_1:88000001-89000000
CNA_11:84000001-85000000
CNA_11:9000001-10000000
CNA_12:123000001-124000000
CNA_12:126000001-127000000
CNA_12:131000001-132000000
CNA_1:83000001-84000000
CNA_12:18000001-19000000
CNA_12:25000001-26000000
CNA_12:27000001-28000000
CNA_1:66000001-67000000
CNA_12:46000001-47000000
CNA_1:234000001-235000000
CNA_12:56000001-57000000
CNA_1:48000001-49000000
CNA_1:46000001-47000000
CNA_12:6000001-7000000
CNA_1:44000001-45000000
CNA_1:43000001-44000000
CNA_12:81000001-82000000
CNA_12:93000001-94000000
CNA_1:41000001-42000000
CNA_12:95000001-96000000
CNA_1:39000001-40000000
CNA_1:89000001-90000000
CNA_11:64000001-65000000
CNA_11:62000001-63000000
CNA_11:4000001-5000000
CNA_10:35000001-36000000
CNA_10:49000001-50000000
CNA_10:53000001-54000000
CNA_10:87000001-88000000
CNA_10:88000001-89000000
CNA_10:33000001-34000000
CNA_10:19000001-20000000
CNA_10:17000001-18000000
CNA_10:16000001-17000000
CNA_11:10000001-11000000
CNA_11:108000001-109000000
CNA_11:109000001-110000000
CNA_10:15000001-16000000
CNA_10:126000001-127000000
CNA_11:12000001-13000000
CNA_10:12000001-13000000
CNA_11:123000001-124000000
CNA_10:10000001-11000000
CNA_11:127000001-128000000
CNA_11:14000001-15000000
CNA_11:23000001-24000000
CNA_1:96000001-97000000
CNA_11:29000001-30000000
CNA_1:25000001-26000000
CNA_12:89000001-90000000
CNA_13:60000001-61000000
CNA_1:232000001-233000000
CNA_15:31000001-32000000
CNA_1:111000001-112000000
CNA_1:200000001-201000000
CNA_1:191000001-192000000
CNA_1:114000001-115000000
CNA_13:58000001-59000000
CNA_14:95000001-96000000
CNA_1:12000001-13000000
CNA_1:14000001-15000000
CNA_1:181000001-182000000
CNA_14:70000001-71000000
CNA_1:18000001-19000000
CNA_1:17000001-18000000
CNA_14:106000001-107000000
CNA_1:163000001-164000000
CNA_14:38000001-39000000
CNA_14:46000001-47000000
CNA_14:63000001-64000000
CNA_1:157000001-158000000
CNA_14:69000001-70000000
CNA_15:33000001-34000000
CNA_13:57000001-58000000
CNA_13:56000001-57000000
CNA_1:206000001-207000000
CNA_1:228000001-229000000
CNA_1:224000001-225000000
CNA_1:110000001-111000000
CNA_1:22000001-23000000
TMD_371
CNA_15:64000001-65000000
CNA_1:214000001-215000000
CNA_1:21000001-22000000
CNA_1:210000001-211000000
CNA_13:45000001-46000000
CNA_1:205000001-206000000
CNA_1:201000001-202000000
CNA_1:20000001-21000000
CNA_15:62000001-63000000
CNA_15:55000001-56000000
CNA_14:79000001-80000000
CNA_1:11000001-12000000
MOTIF_END_GTCG
MOTIF_END_TATG
MOTIF_END_TAGT
MOTIF_END_TAGC
CNA_3:195000001-196000000
MOTIF_END_TAGA
CNA_3:29000001-30000000
MOTIF_END_TAAG
CNA_3:65000001-66000000
MOTIF_END_TAAA
MOTIF_END_GTGT
MOTIF_END_GTGC
CNA_3:96000001-97000000
CNA_4:109000001-110000000
CNA_3:123000001-124000000
MOTIF_END_GTCC
MOTIF_END_CTAG
MOTIF_END_CTAA
MOTIF_END_CCAT
CNA_4:30000001-31000000
MOTIF_END_CCAA
CNA_4:37000001-38000000
MOTIF_END_CACA
MOTIF_END_CAAG
CNA_4:41000001-42000000
MOTIF_END_CAAC
MOTIF_END_ATTG
MOTIF_END_TCGC
MOTIF_END_TTCG
CNA_4:87000001-88000000
CNA_2:217000001-218000000
CNA_2:100000001-101000000
T_CNA_13:108495969-108496120
T_CNA_12:65121476-65121678
T_CNA_12:54047491-54047711
CNA_2:120000001-121000000
T_CNA_12:131773905-131774104
T_CNA_12:122035274-122035558
T_CNA_12:114448549-114448814
CNA_2:150000001-151000000
CNA_2:156000001-157000000
T_CNA_11:63919655-63919894
CNA_2:168000001-169000000
T_CNA_11:30585461-30585582
T_CNA_1:1163599-1163832
CNA_2:225000001-226000000
T_CNA_10:128934041-128934243
CNA_2:59000001-60000000
T_CNA_10:127736442-127736649
T_CNA_10:107164022-107164546
T_CNA_1:9317873-9318231
T_CNA_1:7668966-7668971
CNA_20:55000001-56000000
CNA_20:59000001-60000000
T_CNA_1:148808424-148808612
CNA_3:108000001-109000000
CNA_4:8000001-9000000
CNA_4:91000001-92000000
T_CNA_13:112062727-112063125
CNA_9:71000001-72000000
CNA_6:84000001-85000000
ME_T10
ME_G11
CNA_7:118000001-119000000
ME_C7
ME_C14
ME_C10
